open_time,open_price,high_price,low_price,close_price,volume,turnover
1713587100000,63845.9,63933.3,63831.7,63921.3,140.68,8986484.3051
1713587400000,63921.3,63939.5,63836.3,63932.1,312.187,19946443.5079
1713587700000,63932.1,64127.9,63932,64100.1,516.926,33107493.1499
1713588000000,64100.1,64206.8,64060,64159.1,448.984,28798487.4923
1713588300000,64159.1,64257.3,64129.1,64175.1,538.741,34586642.3861
1713588600000,64175.1,64201.9,63962,63979.9,359.735,23049781.4849
1713588900000,63979.9,64179.1,63979.9,64101.6,355.792,22797603.9009
1713589200000,64101.6,64144.3,64020.4,64028.1,162.932,10441446.5998
1713589500000,64028.1,64049.1,63981.2,64005.6,131.242,8401280.8779
1713589800000,64005.6,64041.6,63944.4,64025.7,122.56,7841715.6891
1713590100000,64025.7,64079,63955.5,63977.8,115.057,7366007.3262
1713590400000,63977.8,64046.7,63954,64016,80.698,5165543.7006
1713590700000,64016,64097,64001.6,64073.3,119.527,7657011.7465
1713591000000,64073.3,64184.3,64022.8,64180.1,310.262,19891257.9465
1713591300000,64180.1,64196,64112,64193.3,116.941,7501375.3206
1713591600000,64193.3,64216.9,64138.3,64216.5,213.075,13676380.2377
1713591900000,64216.5,64216.5,64129.7,64145.2,87.107,5589297.4385
1713592200000,64145.2,64209.5,64132.5,64171.2,72.927,4679780.6473
1713592500000,64171.2,64184,64097.3,64120,85.677,5493795.5976
1713592800000,64120,64120.1,64027.1,64027.2,227.975,14608522.7367
1713593100000,64027.2,64044.4,63938.2,63967.9,247.178,15815601.0111
1713593400000,63967.9,64029.3,63913.3,64015,246.543,15769919.6521
1713593700000,64015,64042,63961.5,63996.3,124.034,7938292.6746
1713594000000,63996.3,64047.1,63957.5,64028,106.524,6818056.991
1713594300000,64028,64055,64007.6,64049.9,61.128,3914247.6724
1713594600000,64049.9,64107.1,63988.2,64066.1,152.228,9753056.9799
1713594900000,64066.1,64108.2,64026.3,64085.9,61.426,3936087.1711
