open_time,open_price,high_price,low_price,close_price,volume,turnover
1696771200000,27810,27913.2,27793,27877.5,1602.43,44649857.6061
1696771500000,27877.5,27884.4,27844,27855.1,468.289,13046945.9605
1696771800000,27855.1,27892.5,27844,27880.9,738.301,20579309.6768
1696772100000,27880.9,27881.2,27852.6,27877.2,363.165,10121448.0009
1696772400000,27877.2,27913.1,27877.1,27895.4,758.912,21172287.6166
1696772700000,27895.4,27999,27892,27979.5,1831.759,51195685.2827
1696773000000,27979.5,27979.6,27870,27870,814.03,22731357.8241
1696773300000,27870,27907.7,27863,27898.5,630.377,17576019.1445
1696773600000,27898.5,27933.8,27897.6,27929.1,484.006,13512448.013
1696773900000,27929.1,27930,27877,27881.6,337.199,9405366.225
1696774200000,27881.6,27923.7,27877,27902,197.402,5508485.6291
1696774500000,27902,27905.7,27871.7,27881.6,530.073,14777621.1721
1696774800000,27881.6,27881.8,27867.5,27878.1,136.387,3801808.5094
1696775100000,27878.1,27878.2,27855.5,27860,492.487,13722755.1301
1696775400000,27860,27908.7,27857.3,27898,213.773,5961877.9957
1696775700000,27898,27924.3,27894.3,27907.2,263.981,7367697.5322
1696776000000,27907.2,27944,27899.4,27943.9,409.103,11424020.3587
1696776300000,27943.9,27965.6,27902.1,27909.1,405.65,11332988.6619
1696776600000,27909.1,27917.2,27902.9,27916.4,90.393,2522990.5089
1696776900000,27916.4,27929.1,27916.4,27919.7,118.69,3314304.4029
1696777200000,27919.7,27926,27907.8,27918.7,126.795,3539762.1079
1696777500000,27918.7,27929.8,27912.9,27929.7,81.77,2282968.8957
1696777800000,27929.7,27937,27912.9,27913,88.155,2461820.4319
1696778100000,27913,27913.6,27896,27898.9,138.359,3860812.9345
1696778400000,27898.9,27910,27887.3,27910,266.743,7440606.3953
1696778700000,27910,27910,27891.3,27898.3,58.002,1618391.164
1696779000000,27898.3,27898.4,27875.2,27875.3,166.91,4654260.0987
1696779300000,27875.3,27895.4,27869.5,27895.3,175.54,4895107.3664
1696779600000,27895.3,27895.4,27870.4,27881.8,94.089,2623474.3011
1696779900000,27881.8,27884.9,27872.4,27875.3,139.758,3895937.8074
1696780200000,27875.3,27888.2,27873.8,27885.4,185.95,5183788.9957
1696780500000,27885.4,27888.4,27882.9,27882.9,87.79,2448169.9841
1696780800000,27882.9,27911,27876.5,27908.4,291.526,8131837.8423
1696781100000,27908.4,27922.1,27899.9,27899.9,204.23,5700185.0892
1696781400000,27899.9,27919.1,27878.4,27878.5,193.096,5387488.0367
1696781700000,27878.5,27892.9,27876.5,27888.8,90.449,2522130.2331
1696782000000,27888.8,27891.9,27859.4,27861.5,151.858,4232242.4489
1696782300000,27861.5,27864,27856.4,27864,98.243,2736917.1171
1696782600000,27864,27887.3,27860.7,27885.3,91.1,2539481.9932
1696782900000,27885.3,27887,27867.3,27867.3,70.49,1965336.5315
1696783200000,27867.3,27910,27867.3,27902.6,189.108,5275428.4243
1696783500000,27902.6,27906.8,27892.8,27892.9,25.967,724462.145
1696783800000,27892.9,27901.3,27892.8,27896.3,24.191,674849.6411
1696784100000,27896.3,27912.7,27896.2,27899.8,107.611,3003302.786
